Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=700;4*a(1)""","",0,6503,3409,1622016,415,1,0,8,28898
"bc -le ""scale=700;4*a(1)""","",0,6459,3364,1622016,415,1,0,6,28539
"bc -le ""scale=700;4*a(1)""","",0,6486,1641,1622016,415,1,0,6,28807
"bc -le ""scale=700;4*a(1)""","",0,6495,3382,1622016,415,1,0,5,28777
"bc -le ""scale=700;4*a(1)""","",0,6477,3007,1622016,415,1,0,6,28668
"bc -le ""scale=700;4*a(1)""","",0,6504,3410,1622016,415,1,0,6,28611
"bc -le ""scale=700;4*a(1)""","",0,6490,3303,1622016,415,1,0,5,29551
"bc -le ""scale=700;4*a(1)""","",0,6470,3502,1622016,415,1,0,8,28766
"bc -le ""scale=700;4*a(1)""","",0,6499,1538,1622016,415,1,0,8,28664
"bc -le ""scale=700;4*a(1)""","",0,6506,3335,1622016,415,1,0,6,28729
"bc -le ""scale=700;4*a(1)""","",0,6480,3254,1622016,415,1,0,5,28605
"bc -le ""scale=700;4*a(1)""","",0,6496,1552,1622016,415,1,0,7,28584
"bc -le ""scale=700;4*a(1)""","",0,6454,3388,1622016,415,1,0,5,28439
"bc -le ""scale=700;4*a(1)""","",0,6499,3417,1622016,415,1,0,6,28826
"bc -le ""scale=695;4*a(1)""","",0,6320,3411,1605632,421,1,0,7,28372
"bc -le ""scale=695;4*a(1)""","",0,6354,3430,1605632,421,1,0,8,28369
"bc -le ""scale=695;4*a(1)""","",0,6312,3461,1605632,421,1,0,9,28587
"bc -le ""scale=695;4*a(1)""","",0,6306,3334,1605632,421,1,0,9,28234
"bc -le ""scale=695;4*a(1)""","",0,6434,3441,1605632,421,1,0,6,28420
"bc -le ""scale=695;4*a(1)""","",0,6320,2293,1605632,421,1,0,7,28849
"bc -le ""scale=695;4*a(1)""","",0,6331,3399,1605632,421,1,0,6,28375
"bc -le ""scale=695;4*a(1)""","",0,6352,3307,1605632,421,1,0,6,28442
"bc -le ""scale=695;4*a(1)""","",0,6340,3456,1605632,421,1,0,6,28741
"bc -le ""scale=695;4*a(1)""","",0,6311,3422,1605632,421,1,0,8,28451
"bc -le ""scale=695;4*a(1)""","",0,6315,1580,1605632,421,1,0,6,28649
"bc -le ""scale=695;4*a(1)""","",0,6313,3496,1605632,421,1,0,10,28466
"bc -le ""scale=695;4*a(1)""","",0,6322,3449,1605632,421,1,0,9,28569
"bc -le ""scale=695;4*a(1)""","",0,6332,3380,1605632,421,1,0,6,28706
"bc -le ""scale=695;4*a(1)""","",0,6303,3386,1605632,421,1,0,6,28544
"bc -le ""scale=695;4*a(1)""","",0,6324,3453,1605632,421,1,0,9,28678
"bc -le ""scale=695;4*a(1)""","",0,6330,3372,1605632,421,1,0,7,28396
"bc -le ""scale=695;4*a(1)""","",0,6349,3415,1605632,421,1,0,8,28523
"bc -le ""scale=695;4*a(1)""","",0,6335,1941,1605632,421,1,0,5,28566
"bc -le ""scale=695;4*a(1)""","",0,6351,3390,1605632,421,1,0,6,28679
"bc -le ""scale=695;4*a(1)""","",0,6323,3324,1605632,421,1,0,7,28523
"bc -le ""scale=695;4*a(1)""","",0,6338,2856,1605632,421,1,0,9,28692
"bc -le ""scale=695;4*a(1)""","",0,6283,1772,1605632,421,1,0,8,29246
"bc -le ""scale=695;4*a(1)""","",0,6310,3422,1605632,421,1,0,10,28573
"bc -le ""scale=695;4*a(1)""","",0,6316,3331,1605632,421,1,0,8,28645
"bc -le ""scale=695;4*a(1)""","",0,6312,3476,1605632,421,1,0,8,28483
"bc -le ""scale=695;4*a(1)""","",0,6515,3434,1605632,421,1,0,7,28759
"bc -le ""scale=695;4*a(1)""","",0,6727,1960,2162688,455,1,0,18,33217
"bc -le ""scale=695;4*a(1)""","",0,6323,2797,1605632,421,1,0,7,31200
"bc -le ""scale=695;4*a(1)""","",0,6387,3506,1605632,421,1,0,7,29077
"bc -le ""scale=695;4*a(1)""","",0,6330,3462,1605632,421,1,0,7,28792
"bc -le ""scale=695;4*a(1)""","",0,6353,1544,1605632,421,1,0,5,28839
"bc -le ""scale=695;4*a(1)""","",0,6319,3528,1605632,421,1,0,6,28683
"bc -le ""scale=695;4*a(1)""","",0,6319,2858,1605632,421,1,0,6,28734
"bc -le ""scale=695;4*a(1)""","",0,6354,3491,1605632,421,1,0,8,28730
"bc -le ""scale=695;4*a(1)""","",0,6325,8685,1605632,420,18,1,21,31402
"bc -le ""scale=695;4*a(1)""","",0,6351,2893,1605632,420,2,0,9,28741
"bc -le ""scale=695;4*a(1)""","",0,6333,3447,1605632,422,1,0,10,28725
"bc -le ""scale=695;4*a(1)""","",0,6316,1642,1605632,423,1,0,7,28482
"bc -le ""scale=695;4*a(1)""","",0,6329,3507,1605632,424,1,0,7,29245
"bc -le ""scale=695;4*a(1)""","",0,6318,3482,1605632,423,1,0,9,28763
