Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"ls -la","",0,726,3071,1949696,438,0,0,18,24686
"ls -la","",0,688,2870,1687552,422,0,0,17,24535
"ls -la","",0,713,3127,1884160,434,0,0,20,24700
"ls -la","",0,732,3238,1687552,422,0,0,20,24392
"ls -la","",0,721,3343,1867776,433,0,0,19,24416
"ls -la","",0,731,3413,1966080,439,0,0,20,24395
"ls -la","",0,745,3258,1949696,438,0,0,20,24393
"ls -la","",0,724,3171,1687552,422,0,0,17,24604
"ls -la","",0,694,3269,1949696,438,0,0,20,24345
"ls -la","",0,741,3017,1654784,420,0,0,18,24160
"ls -la","",0,739,2857,1949696,438,0,0,17,24081
"ls -la","",0,729,2643,1851392,432,0,0,20,24486
"ls -la","",0,728,2655,2146304,450,0,0,19,24257
"ls -la","",0,748,2640,1654784,420,0,0,18,24342
"ls -la","",0,691,2497,1949696,438,0,0,20,24653
"ls -la","",0,726,2293,1949696,438,0,0,19,24353
"ls -la","",0,710,2633,1687552,422,0,0,19,24299
"ls -la","",0,725,2521,1949696,438,0,0,18,24128
"ls -la","",0,737,2228,1900544,435,0,0,17,24231
"ls -la","",0,732,2130,1949696,438,0,0,22,24106
"ls -la","",0,713,2088,1949696,438,0,0,17,24510
"ls -la","",0,707,2105,1687552,422,0,0,19,24107
"ls -la","",0,744,2170,1687552,422,0,0,23,24756
"ls -la","",0,735,2078,1687552,422,0,0,18,24187
"ls -la","",0,700,2102,1900544,435,0,0,18,24594
"ls -la","",0,748,2267,2375680,467,0,0,19,24648
"ls -la","",0,708,2297,1949696,438,0,0,22,24410
"ls -la","",0,733,2357,1654784,420,0,0,21,24327
"ls -la","",0,747,2069,1949696,438,0,0,21,24328
"ls -la","",0,725,2066,1687552,422,0,0,19,24461
"ls -la","",0,724,2161,2146304,450,0,0,19,24446
"ls -la","",0,703,2179,1835008,431,0,0,18,24493
"ls -la","",0,743,2080,1851392,432,0,0,17,24353
"ls -la","",0,723,2002,1687552,422,0,0,17,24500
"ls -la","",0,744,2274,2146304,450,0,0,22,24453
"ls -la","",0,737,2170,1687552,422,0,0,21,24339
"ls -la","",0,717,4078,1851392,432,0,0,18,24267
"ls -la","",0,737,4045,1687552,422,0,0,22,24012
"ls -la","",0,722,4121,1933312,437,0,0,21,24077
"ls -la","",0,733,3133,1851392,432,0,0,19,24134
"ls -la","",0,716,3984,1687552,422,0,0,18,24079
"ls -la","",0,746,4083,1867776,433,0,0,19,24159
"ls -la","",0,777,3969,1654784,420,0,0,19,24810
"ls -la","",0,733,4034,1900544,435,0,0,19,24392
"ls -la","",0,715,3270,1654784,421,0,0,19,24205
"ls -la","",0,738,3936,2146304,451,0,0,20,24520
"ls -la","",0,735,2097,1867776,434,0,0,18,24335
"ls -la","",0,736,3395,2097152,450,0,0,21,24280
"ls -la","",0,727,4087,1802240,430,0,0,20,24591
"ls -la","",0,733,4084,1867776,434,0,0,18,24218
"ls -la","",0,713,3821,1654784,421,0,0,16,24150
"ls -la","",0,730,4102,1851392,433,0,0,20,24455
"ls -la","",0,723,3864,1867776,434,0,0,18,24403
"ls -la","",0,748,4101,1949696,439,0,0,20,24434
"ls -la","",0,741,4068,1949696,439,0,0,19,24318
"ls -la","",0,723,4096,2146304,451,0,0,21,24545
"ls -la","",0,737,4062,1851392,433,0,0,20,24260
"ls -la","",0,723,4135,1933312,438,0,0,20,24379
"ls -la","",0,735,4074,1867776,434,0,0,17,24216
"ls -la","",0,732,4067,1949696,439,0,0,18,24425
"ls -la","",0,724,3993,1949696,439,0,0,17,24301
"ls -la","",0,746,2486,1949696,439,0,0,19,24525
"ls -la","",0,718,4021,2146304,451,0,0,19,25746
"ls -la","",0,736,2624,1687552,424,0,0,19,24726
"ls -la","",0,716,3908,1654784,423,0,0,18,24281
"ls -la","",0,713,4111,1949696,441,0,0,19,24323
"ls -la","",0,725,4071,1654784,423,0,0,19,24432
"ls -la","",0,740,4109,1867776,436,0,0,20,24556
"ls -la","",0,747,4077,1949696,441,0,0,18,24383
"ls -la","",0,727,4066,1966080,442,0,0,19,24435
"ls -la","",0,728,4094,1949696,441,0,0,20,24337
"ls -la","",0,735,3913,1900544,438,0,0,18,24281
"ls -la","",0,717,4015,1867776,436,0,0,18,24255
"ls -la","",0,714,3801,1687552,425,0,0,17,24600
"ls -la","",0,724,4081,1835008,434,0,0,19,24661
"ls -la","",0,740,4017,1949696,441,0,0,21,24460
"ls -la","",0,755,3964,1949696,441,0,0,17,24327
"ls -la","",0,713,4044,1654784,423,0,0,20,24440
"ls -la","",0,727,3912,1687552,425,0,0,18,24372
"ls -la","",0,731,4079,1949696,441,0,0,19,24531
"ls -la","",0,709,4043,1933312,440,0,0,19,24383
"ls -la","",0,742,4013,1654784,423,0,0,19,24402
"ls -la","",0,714,3481,1654784,423,0,0,19,24632
"ls -la","",0,744,2086,1949696,441,0,0,23,25162
"ls -la","",0,719,4063,1949696,441,0,0,20,24714
"ls -la","",0,748,4035,1851392,435,0,0,18,24162
"ls -la","",0,734,4164,2146304,453,0,0,20,24601
"ls -la","",0,748,4064,1949696,441,0,0,20,24595
"ls -la","",0,757,3987,1867776,436,0,0,22,24502
"ls -la","",0,724,3864,1933312,440,0,0,17,24359
"ls -la","",0,739,4078,2129920,452,0,0,19,24602
"ls -la","",0,729,4085,1949696,441,0,0,18,24489
"ls -la","",0,719,4049,1949696,441,0,0,20,24660
"ls -la","",0,722,4057,1949696,440,0,0,19,24571
"ls -la","",0,728,4039,1867776,435,0,0,18,24179
"ls -la","",0,718,4054,1687552,423,0,0,20,24319
"ls -la","",0,732,4101,2146304,451,0,0,19,24526
"ls -la","",0,692,4012,1949696,439,0,0,22,24713
"ls -la","",0,716,2065,1949696,439,0,0,18,24319
"ls -la","",0,726,3978,1654784,421,0,0,17,24269
"ls -la","",0,739,3969,1654784,421,0,0,21,24442
"ls -la","",0,733,2125,1687552,423,0,0,19,24532
"ls -la","",0,720,2125,2129920,450,0,0,19,24633
"ls -la","",0,702,3922,1884160,435,0,0,18,24713
"ls -la","",0,750,2051,1949696,439,0,0,17,24429
"ls -la","",0,707,2272,1687552,423,0,0,19,24098
"ls -la","",0,706,3218,1949696,439,0,0,21,24222
"ls -lr","",0,740,4028,2146304,458,0,0,20,24565
"ls -lr","",0,723,2379,1966080,447,0,0,21,24766
"ls -lr","",0,709,4023,1949696,446,0,0,20,24658
"ls -lr","",0,705,4042,1654784,428,0,0,19,24265
"ls -lr","",0,696,4069,1949696,446,0,0,19,24259
"ls -lr","",0,693,4100,1966080,447,0,0,20,24396
"ls -lr","",0,705,4009,1867776,441,0,0,19,24464
"ls -lr","",0,715,4121,1687552,430,0,0,21,24220
"ls -lr","",0,711,3876,1835008,439,0,0,18,24471
"ls -lr","",0,716,3484,1884160,442,0,0,16,24495
"ls -lr","",0,723,3510,1949696,446,0,0,19,24471
"ls -lr","",0,690,2912,1720320,432,0,0,20,24604
"ls -lr","",0,729,4123,2097152,458,0,0,22,24936
"ls -lr","",0,676,2346,1835008,441,0,0,18,24272
"ls -lr","",0,719,4103,1949696,448,0,0,20,24289
"ls -lr","",0,704,4119,1949696,448,0,0,20,24376
"ls -lr","",0,730,4105,1867776,447,0,0,18,24216
"ls -lr","",0,706,2124,1949696,448,0,0,22,24674
"ls -lr","",0,718,4098,1867776,443,0,0,20,24344
"ls -lr","",0,714,4115,1949696,448,0,0,20,24199
"ls -lr","",0,710,4155,2146304,460,0,0,21,24639
"ls -lr","",0,711,3190,1687552,432,0,0,18,24552
"ls -lr","",0,708,4117,2015232,452,0,0,20,24466
"ls -lr","",0,714,3994,1654784,430,0,0,21,24562
"ls -lr","",0,731,4060,1933312,447,0,0,20,24146
"ls -lr","",0,709,4120,1949696,448,0,0,19,24389
"ls -lr","",0,720,4089,1949696,448,0,0,20,24273
"ls -lr","",0,729,4055,1654784,430,0,0,19,24410
"ls -lr","",0,724,4106,1687552,432,0,0,21,24485
"ls -lr","",0,707,4100,1949696,448,0,0,20,24737
"ls -lr","",0,714,4115,2064384,455,0,0,20,24701
"ls -lr","",0,692,4117,1949696,448,0,0,22,25338
"ls -lr","",0,691,4123,1851392,442,0,0,20,24626
"ls -lr","",0,722,4128,1687552,432,0,0,20,24703
