Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"ls -lusr","",0,727,4087,2129920,445,0,0,19,23622
"ls -lusr","",0,739,3257,1654784,416,0,0,20,23602
"ls -lusr","",0,723,4030,1933312,433,0,0,18,23737
"ls -lusr","",0,718,4083,1949696,434,0,0,17,23514
"ls -lusr","",0,760,3306,1867776,429,0,0,18,23715
"ls -lusr","",0,756,4089,2080768,442,0,0,21,24156
"ls -lusr","",0,732,3997,1867776,428,0,0,17,23989
"ls -lusr","",0,723,4018,1949696,432,0,0,19,23741
"ls -lusr","",0,723,4075,1933312,431,0,0,19,23568
"ls -lusr","",0,764,4086,1851392,426,0,0,19,23880
"ls -lusr","",0,741,4000,1867776,427,0,0,17,23454
"ls -lusr","",0,736,4083,1900544,429,0,0,19,23707
"ls -lusr","",0,735,4051,1949696,432,0,0,18,23565
"ls -lr","",0,718,4066,2129920,450,0,0,21,23635
"ls -lr","",0,743,4087,1949696,439,0,0,19,23884
"ls -lr","",0,747,4101,1687552,423,0,0,22,23853
"ls -lr","",0,736,4028,2146304,451,0,0,19,24101
"ls -lr","",0,740,4027,1851392,433,0,0,21,23534
"ls -lr","",0,725,3503,1900544,436,0,0,20,23564
"ls -lr","",0,728,2079,1949696,439,0,0,20,23871
"ls -lr","",0,745,2124,1949696,439,0,0,22,24043
"ls -lr","",0,747,4066,1851392,433,0,0,21,23697
"ls -lr","",0,754,3995,1687552,423,0,0,18,23690
"ls -lr","",0,741,4092,1949696,439,0,0,20,23902
"ls -lr","",0,750,3942,1966080,440,0,0,19,23980
"ls -lr","",0,723,4105,2146304,453,0,0,20,23665
"ls -lr","",0,751,4037,1654784,423,0,0,19,23863
"ls -lr","",0,723,4081,1867776,436,0,0,18,23910
"ls -lr","",0,714,3374,1900544,438,0,0,20,23664
"ls -lr","",0,735,4061,1949696,441,0,0,19,23942
"ls -lr","",0,740,4102,1900544,438,0,0,19,23764
"ls -lr","",0,740,3632,2162688,454,0,0,21,24573
"ls -lr","",0,749,4003,1687552,425,0,0,20,24274
"ls -lr","",0,751,4087,1900544,438,0,0,20,23613
"ls -lr","",0,725,4062,1949696,441,0,0,22,23828
"ls -lr","",0,738,3366,1654784,423,0,0,22,23934
"ls -lr","",0,746,3301,1867776,436,0,0,19,23603
"ls -lr","",0,758,4073,1949696,441,0,0,20,23882
"ls -lr","",0,702,3423,1654784,423,0,0,19,23661
"ls -lr","",0,706,4050,2146304,453,0,0,18,24059
"ls -lr","",0,732,3974,2129920,452,0,0,18,23636
"ls -lr","",0,721,3974,1933312,440,0,0,20,23812
"ls -lr","",0,744,4061,1851392,435,0,0,20,23860
"ls -lr","",0,736,4133,1884160,437,0,0,20,24046
"ls -lr","",0,722,4098,1966080,442,0,0,19,23644
"ls -lr","",0,733,4037,1949696,441,0,0,20,23783
"ls -lr","",0,743,3581,1654784,423,0,0,20,23813
"ls -lr","",0,701,4024,1802240,432,0,0,20,23461
"ls -lr","",0,745,4090,1884160,437,0,0,21,23674
"ls -lr","",0,731,4140,1949696,441,0,0,20,23784
"ls -lr","",0,751,2846,1867776,436,0,0,18,23839
"ls -lr","",0,720,3900,1949696,441,0,0,19,23689
"ls -lr","",0,751,4064,1687552,425,0,0,19,24897
"ls -lr","",0,732,2889,1884160,437,0,0,20,24377
"ls -lr","",0,721,2198,1851392,435,0,0,18,23979
"ls -lr","",0,724,4099,1949696,441,0,0,20,23710
"ls -lr","",0,748,4124,1851392,435,0,0,19,24032
"ls -lr","",0,732,3183,1982464,443,0,0,17,23974
"ls -lr","",0,729,4087,1687552,425,0,0,20,24212
"ls -lr","",0,728,3954,1949696,441,0,0,19,23768
"ls -lr","",0,748,4106,1966080,443,0,0,20,23924
"ls -lr","",0,738,4086,1933312,441,0,0,19,23636
"ls -lr","",0,746,4062,1654784,424,0,0,21,23872
"ls -lr","",0,710,3995,1949696,442,0,0,20,23660
"ls -lr","",0,742,3347,1884160,439,0,0,19,24058
"ls -lr","",0,736,4119,1851392,436,0,0,21,24119
"ls -lr","",0,725,4050,1654784,424,0,0,20,23586
"ls -lr","",0,728,4087,1867776,437,0,0,22,23816
"ls -lr","",0,754,3973,1982464,444,0,0,19,24026
"ls -lr","",0,728,3542,1949696,442,0,0,20,23882
"ls -lr","",0,739,4054,1867776,437,0,0,18,23670
"ls -lr","",0,736,4043,1933312,441,0,0,20,23787
"ls -lr","",0,735,4116,1966080,443,0,0,20,23987
"ls -lr","",0,717,2265,1867776,437,0,0,21,23954
"ls -lr","",0,736,4117,1884160,438,0,0,20,24192
"ls -lr","",0,740,4076,1654784,424,0,0,22,23771
"ls -lr","",0,726,3509,1949696,442,0,0,21,23713
"ls -lr","",0,744,4083,1687552,426,0,0,21,23662
"ls -lr","",0,734,4111,1949696,442,0,0,20,23622
"ls -lr","",0,750,3606,2129920,453,0,0,22,24005
"ls -lr","",0,752,3546,1851392,436,0,0,21,24281
"ls -lr","",0,706,4024,1884160,438,0,0,19,23816
"ls -lr","",0,740,3902,1933312,441,0,0,18,23752
"ls -lr","",0,737,3422,1949696,442,0,0,21,24039
"ls -lr","",0,720,3566,1949696,442,0,0,21,24410
"ls -lr","",0,745,3233,1687552,426,0,0,19,23839
"ls -lr","",0,729,4006,1949696,442,0,0,19,23730
"ls -lr","",0,724,4098,1835008,435,0,0,20,24055
"ls -lr","",0,746,3155,1851392,436,0,0,19,23837
"ls -lr","",0,728,4039,1654784,424,0,0,20,23696
"ls -lr","",0,723,3309,1949696,442,0,0,20,24032
"ls -lr","",0,739,4079,2146304,454,0,0,18,23776
"ls -lr","",0,744,3982,1949696,442,0,0,21,23913
"ls -lr","",0,749,3354,1654784,424,0,0,19,23697
"ls -lr","",0,707,4033,1884160,438,0,0,21,24132
"ls -lr","",0,723,4070,1949696,442,0,0,17,24181
"ls -lr","",0,726,2526,1949696,442,0,0,20,24094
"ls -lr","",0,745,4074,1867776,437,0,0,19,23723
"ls -lr","",0,721,4013,1687552,426,0,0,21,23946
"ls -lr","",0,723,4118,1982464,444,0,0,18,24116
"ls -lr","",0,697,4044,1687552,426,0,0,22,23697
"ls -lr","",0,744,3994,2015232,446,0,0,19,23843
"ls -lr","",0,738,4078,2146304,454,0,0,20,23957
"ls -lr","",0,717,3873,1654784,424,0,0,21,23578
"ls -lr","",0,731,3427,1949696,442,0,0,19,23656
"ls -lr","",0,736,4105,1900544,439,0,0,20,23909
"ls -lr","",0,700,4034,1966080,443,0,0,20,23830
"ls -lr","",0,733,2497,1949696,442,0,0,20,23929
"ls -lr","",0,710,4124,1949696,442,0,0,22,23631
"ls -lr","",0,728,4085,1654784,424,0,0,20,23671
"ls -lr","",0,765,3874,1966080,443,0,0,19,23799
"ls -lr","",0,742,4060,1949696,442,0,0,20,23703
"ls -lr","",0,687,2765,1687552,426,0,0,20,24487
"ls -lar","",0,767,4088,1687552,425,0,0,19,24133
"ls -lar","",0,749,3228,1687552,425,0,0,19,24145
"ls -lar","",0,744,4089,1654784,423,0,0,19,24158
"ls -lar","",0,760,4091,1687552,425,0,0,22,24123
"ls -lar","",0,774,4124,1687552,425,0,0,21,24097
"ls -lar","",0,768,2203,1884160,438,0,0,19,24096
"ls -lar","",0,755,4111,1654784,424,0,0,19,23935
"ls -lar","",0,729,3451,1933312,441,0,0,19,24046
"ls -lar","",0,778,4064,1654784,424,0,0,19,23822
"ls -lar","",0,771,4139,1851392,436,0,0,22,23841
"ls -lar","",0,754,4000,1687552,426,0,0,19,23945
"ls -lar","",0,765,4073,1949696,442,0,0,20,23911
"ls -lar","",0,756,4091,1867776,437,0,0,19,23923
"ls -lar","",0,767,4016,1851392,436,0,0,20,23895
"ls -lar","",0,756,4081,1687552,426,0,0,20,23608
"ls -lar","",0,771,4025,1949696,442,0,0,20,23896
"ls -lar","",0,744,3965,1949696,442,0,0,18,24133
"ls -lar","",0,810,4251,1982464,444,0,0,21,24827
"ls -lar","",0,758,3623,2129920,453,0,0,22,24374
"ls -lar","",0,742,4102,1654784,424,0,0,20,24110
"ls -lar","",0,759,3547,1933312,441,0,0,21,23736
"ls -lar","",0,758,3950,1949696,442,0,0,20,23918
"ls -lar","",0,755,4117,1949696,442,0,0,19,23894
"ls -lar","",0,761,4117,1687552,426,0,0,20,24104
"ls -lar","",0,760,4088,1867776,437,0,0,21,24133
"ls -lar","",0,763,4083,1867776,437,0,0,20,23894
"ls -lar","",0,751,3617,1867776,437,0,0,21,24068
"ls -lar","",0,758,3436,2015232,446,0,0,20,24055
"ls -lar","",0,737,2567,1654784,424,0,0,20,23852
"ls -lar","",0,756,3487,1949696,442,0,0,21,23989
"ls -lar","",0,744,4090,1949696,442,0,0,21,23778
"ls -lar","",0,742,4022,1949696,442,0,0,19,23875
"ls -lar","",0,723,3524,1982464,444,0,0,20,23878
"ls -lar","",0,753,3504,1949696,442,0,0,21,23624
"ls -lar","",0,751,4142,1687552,426,0,0,18,24161
"ls -lar","",0,774,3881,2015232,446,0,0,17,24174
"ls -lar","",0,763,4061,1933312,441,0,0,18,24264
"ls -lar","",0,732,4082,1949696,442,0,0,19,23761
"ls -lar","",0,724,3904,1687552,426,0,0,18,24557
"ls -lar","",0,769,3423,1802240,433,0,0,19,24317
"ls -lar","",0,748,4117,1851392,436,0,0,20,23925
"ls -lar","",0,752,4158,2129920,453,0,0,20,24072
"ls -lar","",0,778,4053,1884160,438,0,0,19,23976
"ls -lar","",0,756,4118,1949696,442,0,0,19,24082
"ls -lar","",0,724,4048,1949696,442,0,0,19,23998
"ls -lar","",0,752,4070,1687552,426,0,0,20,23859
"ls -lar","",0,761,4161,2097152,451,0,0,19,24194
"ls -lar","",0,715,3830,1982464,444,0,0,20,24070
"ls -lar","",0,745,4064,1654784,424,0,0,20,23789
"ls -lar","",0,754,4084,1982464,444,0,0,22,24139
"ls -lar","",0,725,4136,1949696,442,0,0,23,24221
"ls -lar","",0,749,3432,1654784,424,0,0,22,24022
"ls -lar","",0,749,4084,2162688,455,0,0,20,23889
"ls -lar","",0,755,3489,1851392,436,0,0,22,23869
"ls -lar","",0,737,4125,1982464,444,0,0,20,25034
"ls -lar","",0,805,2641,1982464,444,0,0,18,23865
"ls -lar","",0,766,4072,1949696,442,0,0,18,24009
"ls -lar","",0,755,3890,1949696,442,0,0,18,23780
