Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=1500;4*a(1)""","",0,36104,3309,1622016,409,1,0,8,57552
"bc -le ""scale=1500;4*a(1)""","",0,36154,3366,1622016,409,1,0,10,57354
"bc -le ""scale=1500;4*a(1)""","",0,36144,2389,1622016,409,1,0,8,57390
"bc -le ""scale=1500;4*a(1)""","",0,36139,2058,1622016,409,1,0,7,57409
"bc -le ""scale=1500;4*a(1)""","",0,36132,3443,1622016,409,1,0,8,57721
"bc -le ""scale=1500;4*a(1)""","",0,36181,3357,1622016,409,1,0,9,58009
"bc -le ""scale=1500;4*a(1)""","",0,36204,3382,1622016,409,1,0,8,58111
"bc -le ""scale=1500;4*a(1)""","",0,36275,1723,1622016,409,1,0,8,58157
"bc -le ""scale=1500;4*a(1)""","",0,36150,2786,1622016,409,1,0,7,58240
"bc -le ""scale=1500;4*a(1)""","",0,36172,3357,1622016,409,1,0,9,58138
"bc -le ""scale=1500;4*a(1)""","",0,36135,1730,1622016,409,1,0,6,57942
"bc -le ""scale=1500;4*a(1)""","",0,36144,3323,1622016,409,1,0,6,57642
"bc -le ""scale=1500;4*a(1)""","",0,36218,3412,1622016,409,1,0,9,58268
"bc -le ""scale=1500;4*a(1)""","",0,36142,3313,1622016,409,1,0,6,57876
"bc -le ""scale=1500;4*a(1)""","",0,36210,3368,1622016,409,1,0,7,58008
"bc -le ""scale=1500;4*a(1)""","",0,36129,2659,1622016,409,1,0,7,57920
"bc -le ""scale=1500;4*a(1)""","",0,36135,3402,1622016,409,1,0,7,58480
"bc -le ""scale=1500;4*a(1)""","",0,36128,2425,1622016,409,1,0,9,58176
"bc -le ""scale=1500;4*a(1)""","",0,36166,2977,1622016,409,1,0,7,57872
"bc -le ""scale=1500;4*a(1)""","",0,36160,3381,1622016,409,1,0,9,57799
"bc -le ""scale=1500;4*a(1)""","",0,36189,2811,1622016,409,1,0,8,58026
"bc -le ""scale=1500;4*a(1)""","",0,36143,3390,1622016,409,1,0,7,58043
"bc -le ""scale=1500;4*a(1)""","",0,36182,2613,1622016,410,1,0,8,57572
"bc -le ""scale=1500;4*a(1)""","",0,36182,3334,1622016,409,1,0,8,57509
"bc -le ""scale=1500;4*a(1)""","",0,36261,1464,1622016,409,1,0,9,57847
"bc -le ""scale=1500;4*a(1)""","",0,36213,3436,1622016,409,1,0,8,57877
"bc -le ""scale=1500;4*a(1)""","",0,36208,2980,1622016,409,1,0,7,57924
"bc -le ""scale=1500;4*a(1)""","",0,36201,3311,1622016,409,1,0,7,57848
"bc -le ""scale=1500;4*a(1)""","",0,36155,2397,1622016,409,1,0,7,57816
"bc -le ""scale=1500;4*a(1)""","",0,36217,2391,1622016,409,1,0,8,57543
"bc -le ""scale=1500;4*a(1)""","",0,36199,1734,1622016,409,1,0,8,58021
"bc -le ""scale=1500;4*a(1)""","",0,36183,3379,1622016,409,1,0,9,57646
"bc -le ""scale=1500;4*a(1)""","",0,36238,3406,1622016,409,1,0,6,57829
"bc -le ""scale=1500;4*a(1)""","",0,36251,3453,1622016,409,1,0,9,58512
"bc -le ""scale=1500;4*a(1)""","",0,36195,3413,1622016,409,1,0,8,57956
"bc -le ""scale=1500;4*a(1)""","",0,36254,3432,1622016,409,1,0,8,57646
"bc -le ""scale=1500;4*a(1)""","",0,36184,3398,1622016,409,1,0,6,57461
"bc -le ""scale=1500;4*a(1)""","",0,36249,3400,1622016,409,1,0,9,57490
"bc -le ""scale=1500;4*a(1)""","",0,36171,3378,1622016,409,1,0,6,57786
"bc -le ""scale=1500;4*a(1)""","",0,36184,3397,1622016,409,1,0,7,57342
"bc -le ""scale=1000;4*a(1)""","",0,13489,3410,1622016,409,1,0,7,34621
"bc -le ""scale=1000;4*a(1)""","",0,13517,2065,1622016,409,1,0,8,34781
"bc -le ""scale=1000;4*a(1)""","",0,13482,3452,1622016,409,1,0,6,34774
"bc -le ""scale=1000;4*a(1)""","",0,13473,3457,1622016,409,1,0,6,34762
"bc -le ""scale=1000;4*a(1)""","",0,13464,3431,1622016,409,1,0,8,34691
"bc -le ""scale=1000;4*a(1)""","",0,13504,3459,1622016,409,1,0,8,34766
"bc -le ""scale=1000;4*a(1)""","",0,13467,3444,1622016,409,1,0,6,34649
"bc -le ""scale=1000;4*a(1)""","",0,13477,3422,1622016,409,1,0,8,34679
"bc -le ""scale=1000;4*a(1)""","",0,13487,3512,1622016,409,1,0,8,34629
"bc -le ""scale=1000;4*a(1)""","",0,13458,2828,1622016,410,1,0,4,34729
"bc -le ""scale=1000;4*a(1)""","",0,13476,3422,1622016,410,1,0,6,34524
"bc -le ""scale=1000;4*a(1)""","",0,13470,3440,1622016,410,1,0,6,34627
