Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=700;4*a(1)""","",0,6469,3455,1622016,420,1,0,8,28785
"bc -le ""scale=700;4*a(1)""","",0,6482,2891,1622016,420,1,0,8,28669
"bc -le ""scale=700;4*a(1)""","",0,6489,3448,1622016,420,1,0,7,28538
"bc -le ""scale=700;4*a(1)""","",0,6462,3445,1622016,420,1,0,7,28501
"bc -le ""scale=700;4*a(1)""","",0,6454,3385,1622016,420,1,0,7,28755
"bc -le ""scale=700;4*a(1)""","",0,6473,3451,1622016,420,1,0,8,28761
"bc -le ""scale=700;4*a(1)""","",0,6444,3351,1622016,420,1,0,7,28944
"bc -le ""scale=700;4*a(1)""","",0,6457,1480,1622016,420,1,0,7,28917
"bc -le ""scale=700;4*a(1)""","",0,6470,3144,1622016,420,1,0,6,28501
"bc -le ""scale=700;4*a(1)""","",0,6465,2722,1622016,420,1,0,10,28873
"bc -le ""scale=700;4*a(1)""","",0,6486,3384,1622016,420,1,0,7,28539
"bc -le ""scale=700;4*a(1)""","",0,6503,3269,1622016,420,1,0,5,28445
"bc -le ""scale=700;4*a(1)""","",0,6484,3424,1622016,420,1,0,7,28418
"bc -le ""scale=700;4*a(1)""","",0,6485,3422,1622016,420,1,0,5,28764
"bc -le ""scale=675;4*a(1)""","",0,5872,3396,1605632,429,1,0,8,28144
"bc -le ""scale=675;4*a(1)""","",0,5879,3088,1605632,429,1,0,7,28151
"bc -le ""scale=675;4*a(1)""","",0,5900,2166,1605632,429,1,0,9,28123
"bc -le ""scale=675;4*a(1)""","",0,5911,3438,1605632,429,1,0,7,28062
"bc -le ""scale=675;4*a(1)""","",0,5876,3509,1605632,429,1,0,9,28347
"bc -le ""scale=675;4*a(1)""","",0,5897,1793,1605632,429,1,0,9,28229
"bc -le ""scale=675;4*a(1)""","",0,5878,3354,1605632,429,1,0,5,27784
"bc -le ""scale=675;4*a(1)""","",0,5890,3478,1605632,429,1,0,8,28133
"bc -le ""scale=675;4*a(1)""","",0,5920,3486,1605632,429,1,0,7,27919
"bc -le ""scale=675;4*a(1)""","",0,5868,2843,1605632,429,1,0,9,28082
"bc -le ""scale=675;4*a(1)""","",0,5898,3543,1605632,429,1,0,9,27998
"bc -le ""scale=675;4*a(1)""","",0,5859,3144,1605632,429,1,0,6,28373
"bc -le ""scale=675;4*a(1)""","",0,5901,3086,1605632,429,1,0,9,27914
"bc -le ""scale=675;4*a(1)""","",0,5876,3464,1605632,429,1,0,7,28004
"bc -le ""scale=675;4*a(1)""","",0,5888,3501,1605632,429,1,0,8,28257
"bc -le ""scale=675;4*a(1)""","",0,5891,3323,1605632,429,1,0,5,27966
"bc -le ""scale=675;4*a(1)""","",0,5877,3470,1605632,429,1,0,8,28398
"bc -le ""scale=675;4*a(1)""","",0,5862,3470,1605632,429,1,0,7,28238
"bc -le ""scale=675;4*a(1)""","",0,5877,3355,1605632,429,1,0,6,28252
"bc -le ""scale=675;4*a(1)""","",0,5888,3454,1605632,429,1,0,7,28215
"bc -le ""scale=675;4*a(1)""","",0,5888,1670,1605632,429,1,0,7,28085
"bc -le ""scale=675;4*a(1)""","",0,5857,1529,1605632,429,1,0,8,28046
"bc -le ""scale=675;4*a(1)""","",0,5851,3381,1605632,429,1,0,9,28247
"bc -le ""scale=675;4*a(1)""","",0,5897,3459,1605632,429,1,0,8,28445
"bc -le ""scale=675;4*a(1)""","",0,5882,3326,1605632,429,1,0,5,27963
