Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
"bc -le ""scale=700;4*a(1)""","",0,6470,3411,1622016,417,1,0,6,27946
"bc -le ""scale=700;4*a(1)""","",0,6504,3400,1622016,417,1,0,7,28538
"bc -le ""scale=700;4*a(1)""","",0,6477,1430,1622016,417,1,0,9,28120
"bc -le ""scale=700;4*a(1)""","",0,6489,3419,1622016,417,1,0,7,28301
"bc -le ""scale=700;4*a(1)""","",0,6482,3390,1622016,417,1,0,6,28031
"bc -le ""scale=700;4*a(1)""","",0,6479,3413,1622016,417,1,0,6,28326
"bc -le ""scale=700;4*a(1)""","",0,6487,3363,1622016,417,1,0,7,28035
"bc -le ""scale=700;4*a(1)""","",0,6500,3469,1622016,417,1,0,7,28627
"bc -le ""scale=700;4*a(1)""","",0,6473,3089,1622016,417,1,0,5,28398
"bc -le ""scale=700;4*a(1)""","",0,6472,3412,1622016,417,1,0,8,28167
"bc -le ""scale=700;4*a(1)""","",0,6499,3328,1622016,417,1,0,4,28111
"bc -le ""scale=700;4*a(1)""","",0,6471,3313,1622016,417,1,0,5,28279
"bc -le ""scale=700;4*a(1)""","",0,6529,2945,1622016,417,1,0,3,28149
"bc -le ""scale=700;4*a(1)""","",0,6476,1606,1622016,417,1,0,8,28248
"bc -le ""scale=650;4*a(1)""","",0,5600,2887,1605632,422,1,0,7,27384
"bc -le ""scale=650;4*a(1)""","",0,5616,3425,1605632,422,1,0,8,27228
"bc -le ""scale=650;4*a(1)""","",0,5641,3329,1605632,422,1,0,8,27471
"bc -le ""scale=650;4*a(1)""","",0,5616,3339,1605632,422,1,0,6,27060
"bc -le ""scale=650;4*a(1)""","",0,5632,3457,1605632,422,1,0,8,27185
"bc -le ""scale=650;4*a(1)""","",0,5679,3424,1605632,422,1,0,6,27397
"bc -le ""scale=650;4*a(1)""","",0,5610,3446,1605632,422,1,0,7,27749
"bc -le ""scale=650;4*a(1)""","",0,5619,3433,1605632,422,1,0,7,27492
"bc -le ""scale=650;4*a(1)""","",0,5613,3367,1605632,422,1,0,7,27552
"bc -le ""scale=650;4*a(1)""","",0,5613,3346,1605632,422,1,0,8,27258
"bc -le ""scale=650;4*a(1)""","",0,5611,3451,1605632,422,1,0,7,27406
"bc -le ""scale=650;4*a(1)""","",0,5616,3474,1605632,422,1,0,8,27473
"bc -le ""scale=650;4*a(1)""","",0,5601,3447,1605632,422,1,0,7,27249
"bc -le ""scale=650;4*a(1)""","",0,5621,3473,1605632,422,1,0,8,27544
"bc -le ""scale=650;4*a(1)""","",0,5617,2317,1605632,422,1,0,7,27376
"bc -le ""scale=650;4*a(1)""","",0,5585,3425,1605632,422,1,0,7,27534
"bc -le ""scale=650;4*a(1)""","",0,5611,3365,1605632,422,1,0,8,27432
"bc -le ""scale=650;4*a(1)""","",0,5617,2597,1605632,422,1,0,8,27687
"bc -le ""scale=650;4*a(1)""","",0,5616,3506,1605632,422,1,0,8,27511
"bc -le ""scale=650;4*a(1)""","",0,5638,2749,1605632,422,1,0,7,27723
"bc -le ""scale=650;4*a(1)""","",0,5615,3458,1605632,422,1,0,6,27341
"bc -le ""scale=650;4*a(1)""","",0,5728,3369,1605632,422,1,0,6,27773
"bc -le ""scale=650;4*a(1)""","",0,5606,3321,1605632,422,1,0,6,27389
"bc -le ""scale=650;4*a(1)""","",0,5614,2318,1605632,422,1,0,8,27405
"bc -le ""scale=650;4*a(1)""","",0,5593,3483,1605632,422,1,0,7,28094
"bc -le ""scale=650;4*a(1)""","",0,5590,3496,1605632,422,1,0,7,27568
"bc -le ""scale=650;4*a(1)""","",0,5612,1776,1605632,422,1,0,4,27499
"bc -le ""scale=650;4*a(1)""","",0,5605,3440,1605632,422,1,0,9,27444
"bc -le ""scale=650;4*a(1)""","",0,5603,3482,1605632,422,1,0,8,27429
"bc -le ""scale=650;4*a(1)""","",0,5626,1996,1605632,422,1,0,7,27820
"bc -le ""scale=650;4*a(1)""","",0,5593,3460,1605632,422,1,0,7,27214
"bc -le ""scale=650;4*a(1)""","",0,5602,3367,1605632,422,1,0,7,27738
"bc -le ""scale=650;4*a(1)""","",0,5606,3443,1605632,422,1,0,7,27519
"bc -le ""scale=650;4*a(1)""","",0,5615,3400,1605632,422,1,0,7,27412
"bc -le ""scale=650;4*a(1)""","",0,5610,1464,1605632,422,1,0,7,27483
"bc -le ""scale=650;4*a(1)""","",0,5613,3419,1605632,422,1,0,7,27403
"bc -le ""scale=650;4*a(1)""","",0,5612,3509,1605632,422,1,0,8,27480
"bc -le ""scale=650;4*a(1)""","",0,5627,3466,1605632,423,1,0,8,27705
"bc -le ""scale=650;4*a(1)""","",0,5605,3326,1605632,424,1,0,4,27344
"bc -le ""scale=650;4*a(1)""","",0,5611,3447,1605632,425,1,0,7,27654
"bc -le ""scale=650;4*a(1)""","",0,5605,3455,1605632,424,1,0,10,27517
"bc -le ""scale=650;4*a(1)""","",0,5593,3500,1605632,424,1,0,8,27765
"bc -le ""scale=650;4*a(1)""","",0,5631,3344,1605632,424,1,0,5,28060
"bc -le ""scale=650;4*a(1)""","",0,5602,3460,1605632,424,1,0,6,27542
"bc -le ""scale=650;4*a(1)""","",0,5609,3504,1605632,424,1,0,8,27809
"bc -le ""scale=650;4*a(1)""","",0,5612,3396,1605632,424,1,0,7,27708
"bc -le ""scale=650;4*a(1)""","",0,5602,3415,1605632,424,1,0,9,27346
"bc -le ""scale=650;4*a(1)""","",0,5601,2880,1605632,424,1,0,7,27895
"bc -le ""scale=650;4*a(1)""","",0,5609,3510,1605632,424,1,0,8,27588
"bc -le ""scale=650;4*a(1)""","",0,5590,1562,1605632,424,1,0,8,27972
"bc -le ""scale=650;4*a(1)""","",0,5626,2814,1605632,423,1,0,8,27622
"bc -le ""scale=650;4*a(1)""","",0,5609,2440,1605632,423,1,0,7,27653
"bc -le ""scale=650;4*a(1)""","",0,5592,3274,1605632,423,1,0,6,27444
"bc -le ""scale=650;4*a(1)""","",0,5595,3292,1605632,423,1,0,6,27638
"bc -le ""scale=650;4*a(1)""","",0,5604,2094,1605632,424,1,0,6,27730
"bc -le ""scale=650;4*a(1)""","",0,5573,3409,1605632,423,1,0,9,27562
"bc -le ""scale=650;4*a(1)""","",0,5607,3432,1605632,423,1,0,7,27423
"bc -le ""scale=650;4*a(1)""","",0,5590,1577,1605632,423,1,0,7,27513
"bc -le ""scale=650;4*a(1)""","",0,5613,3385,1605632,423,1,0,8,27178
"bc -le ""scale=650;4*a(1)""","",0,5615,3402,1605632,423,1,0,7,27541
"bc -le ""scale=650;4*a(1)""","",0,5597,2655,1605632,423,1,0,7,27735
"bc -le ""scale=650;4*a(1)""","",0,5628,2808,1605632,423,1,0,5,27631
"bc -le ""scale=650;4*a(1)""","",0,5613,3436,1605632,423,1,0,9,27629
"bc -le ""scale=650;4*a(1)""","",0,5617,3440,1605632,423,1,0,9,27658
"bc -le ""scale=650;4*a(1)""","",0,5600,2926,1605632,423,1,0,10,27615
"bc -le ""scale=650;4*a(1)""","",0,5611,3432,1605632,423,1,0,8,27554
"bc -le ""scale=650;4*a(1)""","",0,5619,3343,1605632,423,1,0,7,27457
"bc -le ""scale=650;4*a(1)""","",0,5607,2540,1605632,423,1,0,9,27699
"bc -le ""scale=650;4*a(1)""","",0,5621,3474,1605632,423,1,0,9,27442
"bc -le ""scale=650;4*a(1)""","",0,5627,3366,1605632,423,1,0,8,27535
"bc -le ""scale=650;4*a(1)""","",0,5622,3456,1605632,423,1,0,9,27477
"bc -le ""scale=650;4*a(1)""","",0,5624,3416,1605632,423,1,0,9,27478
"bc -le ""scale=650;4*a(1)""","",0,5655,3309,1605632,423,1,0,5,27531
"bc -le ""scale=650;4*a(1)""","",0,5622,3364,1605632,423,1,0,7,27362
"bc -le ""scale=650;4*a(1)""","",0,5576,3393,1605632,423,1,0,6,27362
"bc -le ""scale=600;4*a(1)""","",0,4751,3474,1605632,423,1,0,10,26513
"bc -le ""scale=600;4*a(1)""","",0,4745,3452,1605632,423,1,0,5,26870
"bc -le ""scale=600;4*a(1)""","",0,4778,1871,1605632,423,1,0,8,26643
"bc -le ""scale=600;4*a(1)""","",0,4758,1563,1605632,423,1,0,6,26640
"bc -le ""scale=600;4*a(1)""","",0,4742,2515,1605632,423,1,0,4,26659
"bc -le ""scale=600;4*a(1)""","",0,4720,3419,1605632,423,1,0,8,26475
"bc -le ""scale=600;4*a(1)""","",0,4727,3289,1605632,423,1,0,5,26796
"bc -le ""scale=600;4*a(1)""","",0,4771,2015,1605632,423,1,0,6,26691
