Command,Shell,Exit code,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches,Wall clock (us)
ps Aux,,0,9486,30237,3129344,898,1,0,19,41294
ps Aux,,0,9471,30194,3325952,910,1,0,20,41272
ps Aux,,0,9471,30213,3080192,896,1,0,18,41246
ps Aux,,0,9445,30039,3096576,896,1,0,18,41045
ps Aux,,0,9497,30840,2998272,891,1,0,18,41932
ps Aux,,0,9418,30239,3129344,898,1,0,19,41181
ps Aux,,0,9433,30206,3129344,898,1,0,19,41096
ps Aux,,0,9437,30269,2785280,878,1,0,19,41200
ps Aux,,0,9462,30182,3227648,904,1,0,17,41142
ps Aux,,0,9429,30201,3080192,895,1,0,18,41144
ps Aux,,0,9434,30452,3309568,909,1,0,20,41390
ps Aux,,0,9420,30083,3096576,896,1,0,15,41018
ps Aux,,0,9438,30167,3325952,910,1,0,20,41115
ps Aux,,0,9437,30202,3129344,898,1,0,19,41136
ps Aux,,0,9445,30092,3014656,892,1,0,18,41017
ps Aux,,0,9462,30125,3129344,898,1,0,19,41228
ps Aux,,0,9469,30780,3325952,910,1,0,22,41839
ps Aux,,0,9430,30176,3014656,892,1,0,18,41199
ps Aux,,0,9496,30223,3260416,906,1,0,17,41328
ps Aux,,0,9444,30319,3145728,901,1,0,20,41329
ps Aux,,0,9447,30207,3325952,910,1,0,20,41166
ps Aux,,0,9446,30154,2785280,878,1,0,18,41125
ps Aux,,0,9420,30246,3129344,898,1,0,19,41242
ps Aux,,0,9457,30145,2785280,878,1,0,17,41179
ps Aux,,0,9411,30141,3014656,892,1,0,19,41071
ps Aux,,0,9455,30211,3129344,898,1,0,18,41204
ps Aux,,0,9421,30025,2785280,878,1,0,19,40951
ps Aux,,0,9441,30096,3129344,898,1,0,17,40955
ps Aux,,0,9489,30639,3309568,909,1,0,16,41682
ps Aux,,0,9432,30169,2998272,891,1,0,18,41100
ps Aux,,0,9415,30193,3014656,892,1,0,18,41118
ps Aux,,0,9436,30178,3129344,898,1,0,19,41172
ps Aux,,0,9648,30903,4358144,974,1,0,20,42187
ps Aux,,0,9391,30102,3129344,904,1,0,17,40941
ps Aux,,0,9427,30402,2768896,877,1,0,18,41340
ps Aux,,0,9434,30223,2768896,877,1,0,18,41223
ps Aux,,0,9403,30033,3096576,897,1,0,18,40997
ps Aux,,0,9410,30100,3129344,898,1,0,19,41036
ps Aux,,0,9407,30110,2785280,878,1,0,19,41021
ps Aux,,0,9406,30184,3309568,909,1,0,18,41069
ps Aux,,0,9475,30972,3112960,897,1,0,18,41999
ps Aux,,0,9407,30098,3129344,898,1,0,20,41270
ps Aux,,0,9415,30023,3096576,896,1,0,15,40952
ps Aux,,0,9435,30183,3129344,898,1,0,20,41156
ps Aux,,0,9422,30069,3129344,898,1,0,16,41041
ps Aux,,0,9426,30144,3014656,892,1,0,18,41134
ps Aux,,0,9435,30577,2785280,878,1,0,24,41772
ps Aux,,0,9413,30165,2785280,878,1,0,18,41082
ps Aux,,0,9403,30054,3129344,898,1,0,15,40926
ps Aux,,0,9456,30145,2785280,878,1,0,18,41101
ps Aux,,0,9404,30201,3145728,900,1,0,17,41106
ps Aux,,0,9428,29962,3014656,892,1,0,20,40914
ps Aux,,0,9430,30832,3080192,895,1,0,20,41754
ps Aux,,0,9431,30103,3096576,896,1,0,19,41071
ps Aux,,0,9440,30186,3014656,892,1,0,19,41099
ps Aux,,0,9399,30177,3129344,898,1,0,19,41100
ps Aux,,0,9415,30102,3047424,894,1,0,18,41117
ps Aux,,0,9415,30021,2785280,878,1,0,18,40924
ps Aux,,0,9465,30153,3244032,905,1,0,17,41101
ps Aux,,0,9427,30225,2998272,891,1,0,18,41150
ps Aux,,0,9406,30101,3129344,898,1,0,19,41020
ps Aux,,0,9419,30098,3129344,898,1,0,17,41008
ps Aux,,0,9408,30106,3014656,892,1,0,19,41082
ps Aux,,0,9448,30161,3129344,898,1,0,18,41122
ps Aux,,0,9437,30435,2785280,878,1,0,20,41410
ps Aux,,0,9444,30303,2785280,878,1,0,18,41453
ps Aux,,0,9428,30025,2785280,878,1,0,18,40960
ps Aux,,0,9436,30299,2949120,888,1,0,20,41193
ps Aux,,0,9444,30150,2785280,878,1,0,19,41143
ps Aux,,0,9436,30041,3096576,896,1,0,17,40980
ps Aux,,0,9395,30044,3129344,898,1,0,19,41011
ps Aux,,0,9417,30896,3309568,909,1,0,19,41917
ps Aux,,0,9401,30260,3129344,898,1,0,17,41250
