Command,Exit code,Shell,User time (us),System time (us),Max RSS (Bytes),Page Reclaims,Page Faults,Voluntary Context Switches,Involuntary Context Switches
"ls -l",0,"/bin/bash -c",759,1306,1933312,396,3,0,15
"ls -l",0,"/bin/bash -c",766,1208,1851392,392,3,0,15
"ls -l",0,"/bin/bash -c",784,1344,1949696,397,3,0,15
"ls -l",0,"/bin/bash -c",748,1296,1966080,398,3,0,15
"ls -l",0,"/bin/bash -c",757,1262,1687552,382,3,0,15
"ls -l",0,"/bin/bash -c",754,1277,1900544,395,3,0,15
"ls -l",0,"/bin/bash -c",748,1290,1867776,393,3,0,15
"ls -l",0,"/bin/bash -c",744,1258,1900544,395,3,0,15
"ls -l",0,"/bin/bash -c",752,1250,1687552,382,3,0,15
"ls -l",0,"/bin/bash -c",748,1269,1900544,395,3,0,15
"ls -l",0,"/bin/bash -c",747,1257,1687552,382,3,0,15
"ls -l",0,"/bin/bash -c",756,1284,1802240,389,3,0,15
"ls -l",0,"/bin/bash -c",749,1268,1867776,393,3,0,15
"ls -l",0,"/bin/bash -c",742,1235,1687552,382,3,0,15
"ls -l",0,"/bin/bash -c",741,1261,1687552,382,3,0,15
"ls -l",0,"/bin/bash -c",746,1280,1835008,391,3,0,16
"ls -l",0,"/bin/bash -c",743,1278,1687552,382,3,0,15
"ls -l",0,"/bin/bash -c",750,1295,2048000,404,3,0,15
"ls -l",0,"/bin/bash -c",765,1312,1949696,398,3,0,15
"ls -l",0,"/bin/bash -c",736,1243,1687552,382,3,0,15
"ls -l",0,"/bin/bash -c",747,1247,1802240,389,3,0,15
"ls -l",0,"/bin/bash -c",755,1300,2129920,408,3,0,15
"ls -l",0,"/bin/bash -c",739,1254,1802240,389,3,0,15
"ls -l",0,"/bin/bash -c",743,1235,1687552,382,3,0,15
"ls -l",0,"/bin/bash -c",744,1249,1851392,392,3,0,15
"ls -l",0,"/bin/bash -c",745,1271,1687552,382,3,0,15
"ls -l",0,"/bin/bash -c",736,1246,1687552,382,3,0,15
"ls -l",0,"/bin/bash -c",736,1230,1802240,389,3,0,15
